,Yearly Clock (cos),Yearly Clock (sin),Weekly Clock (cos),Weekly Clock (sin),Month,Time,Year,Daytype,Photovoltaics[MWh],Wind onshore[MWh],Wind offshore[MWh],PV + W / Residual Load,COVID,Oil Price
20830,-0.7073599781347366,0.7068534935424915,-0.9998265929943666,-0.0186221357872051,6,02:00:00,2020,Wednesday,0,171,4,0.0175773402973081,0.0,40.47
20832,-0.7083718583194811,0.7058394366575199,-0.995667831128204,-0.092981557614713,6,04:00:00,2020,Wednesday,0,179,8,0.0186440677966101,0.0,40.47
20833,-0.7088772533928311,0.7053318648850595,-0.9915148380293584,-0.1299935612544521,6,05:00:00,2020,Wednesday,19,205,9,0.0223823246878001,0.0,40.47
20836,-0.7103912554258178,0.7038069793732729,-0.9708362360904484,-0.2397436186715532,6,08:00:00,2020,Wednesday,2020,110,62,0.1724626278520849,0.0,40.47
20837,-0.7108951941780547,0.7032979616738172,-0.961235367180286,-0.2757291585628559,6,09:00:00,2020,Wednesday,3258,71,58,0.2872529895683148,0.0,40.47
20839,-0.7119019772428253,0.7022788440482568,-0.9380487047558757,-0.3465034307273512,6,11:00:00,2020,Wednesday,5344,113,41,0.5296214237549369,0.0,40.47
20841,-0.7129072993331932,0.7012582851970113,-0.9096590436427118,-0.4153557804088285,6,13:00:00,2020,Wednesday,5563,220,35,0.5763249133234274,0.0,40.47
20843,-0.7139111583860231,0.7002362872144848,-0.8762238504720232,-0.4819043098624263,6,15:00:00,2020,Wednesday,4509,537,76,0.504929022082019,0.0,40.47
20844,-0.7144125386294526,0.6997247492043002,-0.8576710671013619,-0.5141987365379375,6,16:00:00,2020,Wednesday,3829,839,122,0.4645524197459024,0.0,40.47
20845,-0.7149135523411829,0.6992128521980348,-0.8379285775187718,-0.5457798997557235,6,17:00:00,2020,Wednesday,2914,984,218,0.377892030848329,0.0,40.47
20847,-0.7159144791415465,0.6981879822479675,-0.7949856340682195,-0.6066282565337283,6,19:00:00,2020,Wednesday,920,1532,522,0.2520766231564671,0.0,40.47
20848,-0.7164143917166511,0.6976750098299787,-0.7718447478929109,-0.6358110451621053,6,20:00:00,2020,Wednesday,344,1647,702,0.2336862200624783,0.0,40.47
20849,-0.7169139367329991,0.6971616794675345,-0.74763320826269,-0.6641118775498879,6,21:00:00,2020,Wednesday,45,1757,790,0.2373191723127632,0.0,40.47
20850,-0.7174131139342973,0.6966479914240009,-0.7223845998701061,-0.6914914966002884,6,22:00:00,2020,Wednesday,0,1880,783,0.2582177833801997,0.0,40.47
20851,-0.7179119230644411,0.6961339459629274,-0.6961339459629614,-0.7179119230644082,6,23:00:00,2020,Wednesday,0,1982,690,0.2847703293189811,0.0,40.47
20853,-0.718908436087792,0.6951047838432742,-0.6407734939512465,-0.7677299847273857,6,01:00:00,2020,Thursday,0,2102,642,0.3452875298854914,0.0,41.75
20854,-0.7194061394697349,0.6945896677127097,-0.6117404883098028,-0.7910585155110108,6,02:00:00,2020,Thursday,0,1950,563,0.3212322638374025,0.0,41.75
20855,-0.719903473757995,0.6940741952206347,-0.5818589155579731,-0.8132897407355509,6,03:00:00,2020,Thursday,0,1732,589,0.2920598968164087,0.0,41.75
20856,-0.7204004386974134,0.6935583666315144,-0.5511702254941264,-0.834392822673322,6,04:00:00,2020,Thursday,0,1564,530,0.2497018840925352,0.0,41.75
20858,-0.7213932595100374,0.6925256422209101,-0.4875428314805504,-0.8730990708229666,6,06:00:00,2020,Thursday,229,1522,431,0.2152086004536936,0.0,41.75
20859,-0.7218891148738726,0.6920087469292688,-0.4546923873646007,-0.8906485462137576,6,07:00:00,2020,Thursday,793,1233,448,0.2151491434037742,0.0,41.75
20860,-0.7223845998701266,0.6914914966002671,-0.4212112231761187,-0.9069625711519068,6,08:00:00,2020,Thursday,1652,961,391,0.2493773866843765,0.0,41.75
20862,-0.7233744577432397,0.6904559318918724,-0.3525433167339939,-0.9357954957287382,6,10:00:00,2020,Thursday,3671,996,350,0.4660040869403678,0.0,41.75
20863,-0.7238688301122491,0.6899376180437792,-0.3174518261893934,-0.9482744001864752,6,11:00:00,2020,Thursday,4350,939,378,0.5446943483275664,0.0,41.75
20865,-0.724856460446977,0.6888999286894142,-0.2459970862400145,-0.9692705677783798,6,13:00:00,2020,Thursday,4832,1060,290,0.6295315682281059,0.0,41.75
